year,state,ten_year_age_groups,deaths,population,notes
2005,Oklahoma,35-44 years,85,478423,""
2005,Oklahoma,45-54 years,102,500561,""
2005,Oklahoma,55-64 years,27,378946,""
2005,Oregon,15-24 years,18,502391,unreliable
2005,Oregon,25-34 years,48,481819,""
2005,Oregon,35-44 years,63,503737,""
2005,Oregon,45-54 years,100,546035,""
2005,Oregon,55-64 years,27,412758,""
2005,Pennsylvania,15-24 years,77,1723068,""
2005,Pennsylvania,25-34 years,106,1468043,""
2005,Pennsylvania,35-44 years,150,1789121,""
2005,Pennsylvania,45-54 years,139,1887459,""
2005,Pennsylvania,55-64 years,24,1374904,""
2005,Rhode Island,25-34 years,14,131683,unreliable
2005,Rhode Island,35-44 years,36,160411,""
2005,Rhode Island,45-54 years,44,157832,""
2005,South Carolina,15-24 years,18,622502,unreliable
2005,South Carolina,25-34 years,25,558436,""
2005,South Carolina,35-44 years,44,611097,""
2005,South Carolina,45-54 years,45,610862,""
2005,South Carolina,55-64 years,16,483000,unreliable
2005,Tennessee,15-24 years,48,829594,""
2005,Tennessee,25-34 years,101,803720,""
2005,Tennessee,35-44 years,134,876071,""
2005,Tennessee,45-54 years,125,866901,""
2005,Tennessee,55-64 years,33,665531,""
2005,Texas,15-24 years,115,3488551,""
2005,Texas,25-34 years,154,3297694,""
2005,Texas,35-44 years,259,3336620,""
2005,Texas,45-54 years,241,3077770,""
2005,Texas,55-64 years,77,2082926,""
2005,Texas,65-74 years,16,1230384,unreliable
2005,Utah,15-24 years,50,449492,""
2005,Utah,25-34 years,80,379940,""
2005,Utah,35-44 years,80,299684,""
2005,Utah,45-54 years,86,281835,""
2005,Utah,55-64 years,24,188875,""
2005,Vermont,25-34 years,10,67389,unreliable
2005,Vermont,35-44 years,12,91466,unreliable
2005,Virginia,15-24 years,47,1086341,""
2005,Virginia,25-34 years,84,1019070,""
2005,Virginia,35-44 years,125,1170955,""
2005,Virginia,45-54 years,67,1125356,""
2005,Virginia,55-64 years,35,815526,""
2005,Washington,15-24 years,45,896245,""
2005,Washington,25-34 years,79,838721,""
2005,Washington,35-44 years,155,935472,""
2005,Washington,45-54 years,226,948345,""
2005,Washington,55-64 years,78,675247,""
2005,Washington,65-74 years,10,365134,unreliable
2005,West Virginia,15-24 years,18,241234,unreliable
2005,West Virginia,25-34 years,47,222650,""
2005,West Virginia,35-44 years,40,247209,""
2005,West Virginia,45-54 years,31,282387,""
2005,Wisconsin,15-24 years,38,814263,""
2005,Wisconsin,25-34 years,46,678197,""
2005,Wisconsin,35-44 years,85,816937,""
2005,Wisconsin,45-54 years,75,836877,""
2005,Wisconsin,55-64 years,22,574727,""
2006,Alabama,15-24 years,16,663242,unreliable
2006,Alabama,25-34 years,28,591061,""
2006,Alabama,35-44 years,31,642706,""
2006,Alabama,45-54 years,29,671910,""
2006,Alabama,55-64 years,12,524312,unreliable
2006,Arizona,15-24 years,51,856867,""
2006,Arizona,25-34 years,73,838414,""
2006,Arizona,35-44 years,116,825809,""
2006,Arizona,45-54 years,142,784538,""
2006,Arizona,55-64 years,52,633263,""
2006,Arizona,65-74 years,10,423965,unreliable
2006,Arkansas,15-24 years,29,396127,""
2006,Arkansas,25-34 years,33,366132,""
2006,Arkansas,35-44 years,37,381372,""
2006,Arkansas,45-54 years,26,391289,""
2006,Arkansas,55-64 years,13,318693,unreliable
2006,California,15-24 years,103,5389291,""
2006,California,25-34 years,189,5169993,""
2006,California,35-44 years,341,5408745,""
2006,California,45-54 years,566,5010240,""
2006,California,55-64 years,235,3487880,""
2006,California,65-74 years,47,1992873,""
2006,California,75-84 years,17,1366698,unreliable
2006,Colorado,15-24 years,33,677791,""
2006,Colorado,25-34 years,70,673414,""
2006,Colorado,35-44 years,84,707037,""
2006,Colorado,45-54 years,102,716963,""
2006,Colorado,55-64 years,30,494724,""
2006,Connecticut,15-24 years,34,466999,""
2006,Connecticut,25-34 years,41,403277,""
2006,Connecticut,35-44 years,66,540940,""
2006,Connecticut,45-54 years,64,550459,""
2006,Connecticut,55-64 years,11,396246,unreliable
2006,Delaware,25-34 years,12,107873,unreliable
2006,Delaware,35-44 years,12,124643,unreliable
2006,District of Columbia,35-44 years,14,82716,unreliable
2006,District of Columbia,45-54 years,27,74510,""
2006,Florida,15-24 years,179,2394896,""
2006,Florida,25-34 years,249,2221655,""
2006,Florida,35-44 years,300,2582966,""
2006,Florida,45-54 years,348,2573923,""
2006,Florida,55-64 years,107,2108308,""
2006,Florida,65-74 years,18,1535177,unreliable
2006,Florida,75-84 years,12,1092391,unreliable
2006,Georgia,15-24 years,37,1329464,""
2006,Georgia,25-34 years,78,1312377,""
2006,Georgia,35-44 years,93,1415289,""
2006,Georgia,45-54 years,91,1280676,""
2006,Georgia,55-64 years,23,920050,""
2006,Hawaii,25-34 years,12,176055,unreliable
2006,Hawaii,45-54 years,22,191878,""
2006,Idaho,25-34 years,17,191279,unreliable
2006,Idaho,35-44 years,20,191988,""
2006,Idaho,45-54 years,16,202842,unreliable
2006,Illinois,15-24 years,118,1804519,""
2006,Illinois,25-34 years,189,1737829,""
2006,Illinois,35-44 years,261,1834591,""
2006,Illinois,45-54 years,242,1827063,""
2006,Illinois,55-64 years,52,1301167,""
2006,Indiana,15-24 years,30,920632,""
2006,Indiana,25-34 years,46,812260,""
2006,Indiana,35-44 years,41,893275,""
2006,Indiana,45-54 years,44,923639,""
2006,Indiana,55-64 years,10,674227,unreliable
2006,Iowa,25-34 years,25,352021,""
2006,Iowa,35-44 years,25,395815,""
2006,Iowa,45-54 years,25,439226,""
2006,Iowa,55-64 years,10,323025,unreliable
2006,Kansas,25-34 years,24,343137,""
2006,Kansas,35-44 years,32,370570,""
2006,Kansas,45-54 years,42,402650,""
2006,Kansas,55-64 years,11,285458,unreliable
2006,Kentucky,15-24 years,49,582005,""
2006,Kentucky,25-34 years,100,555069,""
2006,Kentucky,35-44 years,89,607472,""
2006,Kentucky,45-54 years,67,624604,""
2006,Kentucky,55-64 years,18,477485,unreliable
2006,Louisiana,15-24 years,33,655518,""
2006,Louisiana,25-34 years,58,560262,""
2006,Louisiana,35-44 years,42,591780,""
2006,Louisiana,45-54 years,45,632503,""
2006,Louisiana,55-64 years,11,463919,unreliable
2006,Maine,15-24 years,16,174569,unreliable
2006,Maine,25-34 years,22,143767,""
2006,Maine,35-44 years,26,193925,""
2006,Maine,45-54 years,18,216891,unreliable
2006,Maryland,15-24 years,71,780870,""
2006,Maryland,25-34 years,90,725791,""
2006,Maryland,35-44 years,170,872859,""
2006,Maryland,45-54 years,184,860487,""
2006,Maryland,55-64 years,44,618251,""
2006,Massachusetts,15-24 years,65,908945,""
2006,Massachusetts,25-34 years,145,818399,""
2006,Massachusetts,35-44 years,181,977387,""
2006,Massachusetts,45-54 years,214,967175,""
2006,Massachusetts,55-64 years,47,708544,""
2006,Michigan,15-24 years,69,1443138,""
2006,Michigan,25-34 years,130,1219056,""
2006,Michigan,35-44 years,150,1439699,""
2006,Michigan,45-54 years,192,1519529,""
2006,Michigan,55-64 years,45,1109265,""
2006,Minnesota,15-24 years,12,750659,unreliable
2006,Minnesota,25-34 years,38,661468,""
2006,Minnesota,35-44 years,40,751384,""
2006,Minnesota,45-54 years,54,783846,""
2006,Minnesota,55-64 years,11,536391,unreliable
2006,Mississippi,15-24 years,11,441053,unreliable
2006,Mississippi,25-34 years,12,373805,unreliable
2006,Mississippi,35-44 years,21,393261,""
2006,Missouri,15-24 years,65,842703,""
2006,Missouri,25-34 years,88,736036,""
2006,Missouri,35-44 years,114,811090,""
2006,Missouri,45-54 years,105,858053,""
2006,Missouri,55-64 years,24,640898,""
2006,Montana,25-34 years,14,107547,unreliable
2006,Montana,35-44 years,10,121001,unreliable
2006,Montana,45-54 years,12,153021,unreliable
2006,Nebraska,45-54 years,16,256836,unreliable
2006,Nevada,15-24 years,35,335373,""
2006,Nevada,25-34 years,50,367992,""
2006,Nevada,35-44 years,91,379904,""
2006,Nevada,45-54 years,117,349284,""
2006,Nevada,55-64 years,38,281046,""
2006,New Hampshire,15-24 years,18,180579,unreliable
2006,New Hampshire,25-34 years,17,144611,unreliable
2006,New Hampshire,35-44 years,31,204235,""
2006,New Hampshire,45-54 years,30,217045,""
2006,New Jersey,15-24 years,40,1111151,""
2006,New Jersey,25-34 years,75,1091700,""
2006,New Jersey,35-44 years,117,1354889,""
2006,New Jersey,45-54 years,107,1312605,""
2006,New Jersey,55-64 years,20,942325,""
2006,New Mexico,15-24 years,17,293965,unreliable
2006,New Mexico,25-34 years,51,247445,""
2006,New Mexico,35-44 years,60,259933,""
2006,New Mexico,45-54 years,77,283687,""
2006,New Mexico,55-64 years,36,219588,""
2006,New York,15-24 years,94,2703777,""
2006,New York,25-34 years,167,2560803,""
2006,New York,35-44 years,293,2856800,""
2006,New York,45-54 years,334,2788370,""
2006,New York,55-64 years,93,2079639,""
2006,New York,65-74 years,16,1246949,unreliable
2006,North Carolina,15-24 years,100,1251893,""
2006,North Carolina,25-34 years,158,1192318,""
2006,North Carolina,35-44 years,177,1326333,""
2006,North Carolina,45-54 years,209,1272402,""
2006,North Carolina,55-64 years,44,986089,""
2006,Ohio,15-24 years,65,1595611,""
2006,Ohio,25-34 years,143,1420465,""
2006,Ohio,35-44 years,181,1617371,""
2006,Ohio,45-54 years,197,1737816,""
2006,Ohio,55-64 years,42,1276348,""
2006,Oklahoma,15-24 years,45,537997,""
2006,Oklahoma,25-34 years,72,463304,""
2006,Oklahoma,35-44 years,113,475326,""
2006,Oklahoma,45-54 years,118,510666,""
2006,Oklahoma,55-64 years,25,393271,""
2006,Oregon,15-24 years,25,506289,""
2006,Oregon,25-34 years,64,488957,""
2006,Oregon,35-44 years,88,505786,""
2006,Oregon,45-54 years,133,550403,""
2006,Oregon,55-64 years,41,436836,""
2006,Pennsylvania,15-24 years,87,1745555,""
2006,Pennsylvania,25-34 years,100,1460972,""
2006,Pennsylvania,35-44 years,117,1763952,""
2006,Pennsylvania,45-54 years,94,1914680,""
2006,Pennsylvania,55-64 years,13,1427051,unreliable
2006,Rhode Island,15-24 years,10,161905,unreliable
2006,Rhode Island,25-34 years,25,128875,""
2006,Rhode Island,35-44 years,41,155795,""
2006,Rhode Island,45-54 years,42,159996,""
2006,Rhode Island,55-64 years,10,116178,unreliable
2006,South Carolina,15-24 years,25,631981,""
2006,South Carolina,25-34 years,47,564942,""
2006,South Carolina,35-44 years,55,614613,""
2006,South Carolina,45-54 years,55,624649,""
2006,South Carolina,55-64 years,23,507662,""
2006,Tennessee,15-24 years,56,832845,""
2006,Tennessee,25-34 years,109,809202,""
2006,Tennessee,35-44 years,117,881759,""
2006,Tennessee,45-54 years,141,885545,""
2006,Tennessee,55-64 years,42,694825,""
2006,Texas,15-24 years,158,3547328,""
2006,Texas,25-34 years,200,3361877,""
2006,Texas,35-44 years,283,3380287,""
2006,Texas,45-54 years,310,3180431,""
2006,Texas,55-64 years,98,2196687,""
2006,Utah,15-24 years,59,447473,""
2006,Utah,25-34 years,81,395758,""
2006,Utah,35-44 years,68,305466,""
2006,Utah,45-54 years,87,290380,""
2006,Utah,55-64 years,30,200672,""
2006,Vermont,25-34 years,12,66702,unreliable
2006,Vermont,35-44 years,16,89295,unreliable
2006,Vermont,45-54 years,13,103277,unreliable
2006,Virginia,15-24 years,46,1106715,""
2006,Virginia,25-34 years,91,1023967,""
2006,Virginia,35-44 years,129,1166675,""
2006,Virginia,45-54 years,117,1148758,""
2006,Virginia,55-64 years,17,846130,unreliable
2006,Washington,15-24 years,60,907509,""
2006,Washington,25-34 years,110,855936,""
2006,Washington,35-44 years,166,936062,""
2006,Washington,45-54 years,220,965611,""
2006,Washington,55-64 years,82,713269,""
2006,Washington,65-74 years,13,378827,unreliable
2006,West Virginia,15-24 years,46,239567,""
2006,West Virginia,25-34 years,73,221677,""
2006,West Virginia,35-44 years,69,246442,""
2006,West Virginia,45-54 years,76,281943,""
2006,West Virginia,55-64 years,18,234904,unreliable
2006,Wisconsin,15-24 years,30,814609,""
2006,Wisconsin,25-34 years,80,678122,""
2006,Wisconsin,35-44 years,90,801325,""
2006,Wisconsin,45-54 years,89,852655,""
2006,Wisconsin,55-64 years,33,601223,""
2007,Alabama,15-24 years,33,668572,""
2007,Alabama,25-34 years,39,593652,""
2007,Alabama,35-44 years,39,638956,""
2007,Alabama,45-54 years,38,680795,""
2007,Alabama,55-64 years,12,542075,unreliable
2007,Arizona,15-24 years,56,876916,""
2007,Arizona,25-34 years,80,851237,""
2007,Arizona,35-44 years,116,831523,""
2007,Arizona,45-54 years,142,807802,""
2007,Arizona,55-64 years,43,660397,""
2007,Arizona,65-74 years,15,439585,unreliable
2007,Arkansas,15-24 years,22,398071,""
2007,Arkansas,25-34 years,32,368360,""
2007,Arkansas,35-44 years,34,378802,""
2007,Arkansas,45-54 years,44,396686,""
2007,Arkansas,55-64 years,12,327923,unreliable
2007,California,15-24 years,131,5452319,""
2007,California,25-34 years,221,5180534,""
2007,California,35-44 years,368,5338861,""
2007,California,45-54 years,608,5087486,""
2007,California,55-64 years,257,3618423,""
2007,California,65-74 years,31,2046051,""
2007,California,75-84 years,22,1363783,""
2007,California,85+ years,11,537402,unreliable
2007,Colorado,15-24 years,29,679229,""
2007,Colorado,25-34 years,57,684807,""
2007,Colorado,35-44 years,93,706414,""
2007,Colorado,45-54 years,112,728891,""
2007,Colorado,55-64 years,53,523432,""
2007,Connecticut,15-24 years,41,471692,""
2007,Connecticut,25-34 years,46,402640,""
2007,Connecticut,35-44 years,76,527773,""
2007,Connecticut,45-54 years,68,559120,""
2007,Delaware,35-44 years,13,123116,unreliable
2007,District of Columbia,45-54 years,13,74489,unreliable
2007,Florida,15-24 years,197,2432043,""
2007,Florida,25-34 years,314,2237326,""
2007,Florida,35-44 years,354,2557593,""
2007,Florida,45-54 years,395,2628886,""
2007,Florida,55-64 years,149,2171797,""
2007,Florida,65-74 years,38,1570448,""
2007,Florida,75-84 years,11,1092103,unreliable
2007,Georgia,15-24 years,54,1351233,""
2007,Georgia,25-34 years,88,1320457,""
2007,Georgia,35-44 years,100,1426980,""
2007,Georgia,45-54 years,97,1318918,""
2007,Georgia,55-64 years,36,963487,""
2007,Hawaii,35-44 years,17,180064,unreliable
2007,Hawaii,45-54 years,37,193146,""
2007,Hawaii,55-64 years,13,159336,unreliable
2007,Idaho,25-34 years,15,198366,unreliable
2007,Idaho,35-44 years,11,192914,unreliable
2007,Idaho,45-54 years,22,206463,""
2007,Illinois,15-24 years,95,1808661,""
2007,Illinois,25-34 years,146,1742537,""
2007,Illinois,35-44 years,191,1809651,""
2007,Illinois,45-54 years,186,1847204,""
2007,Illinois,55-64 years,59,1342516,""
2007,Indiana,15-24 years,43,921675,""
2007,Indiana,25-34 years,62,816321,""
2007,Indiana,35-44 years,63,883042,""
2007,Indiana,45-54 years,49,934167,""
2007,Indiana,55-64 years,16,699158,unreliable
2007,Iowa,15-24 years,18,437262,unreliable
2007,Iowa,25-34 years,18,360633,unreliable
2007,Iowa,35-44 years,22,387253,""
2007,Iowa,45-54 years,39,441001,""
2007,Kansas,15-24 years,11,414472,unreliable
2007,Kansas,25-34 years,24,351287,""
2007,Kansas,35-44 years,30,363340,""
2007,Kansas,45-54 years,43,406909,""
2007,Kentucky,15-24 years,41,586333,""
2007,Kentucky,25-34 years,115,558071,""
2007,Kentucky,35-44 years,79,602631,""
2007,Kentucky,45-54 years,74,630641,""
2007,Kentucky,55-64 years,25,493319,""
2007,Louisiana,15-24 years,32,662810,""
2007,Louisiana,25-34 years,66,575856,""
2007,Louisiana,35-44 years,53,586382,""
2007,Louisiana,45-54 years,44,642735,""
2007,Louisiana,55-64 years,15,482395,unreliable
2007,Maine,15-24 years,16,173045,unreliable
2007,Maine,25-34 years,36,143628,""
2007,Maine,35-44 years,19,188773,unreliable
2007,Maine,45-54 years,22,218981,""
2007,Maryland,15-24 years,61,790706,""
2007,Maryland,25-34 years,109,726252,""
2007,Maryland,35-44 years,183,854604,""
2007,Maryland,45-54 years,195,872796,""
2007,Maryland,55-64 years,42,636108,""
2007,Massachusetts,15-24 years,50,920232,""
2007,Massachusetts,25-34 years,145,814747,""
2007,Massachusetts,35-44 years,183,954995,""
2007,Massachusetts,45-54 years,203,980801,""
2007,Massachusetts,55-64 years,54,732176,""
2007,Michigan,15-24 years,64,1437607,""
2007,Michigan,25-34 years,106,1197913,""
2007,Michigan,35-44 years,118,1403148,""
2007,Michigan,45-54 years,163,1524683,""
2007,Michigan,55-64 years,41,1146857,""
2007,Minnesota,15-24 years,19,744199,unreliable
2007,Minnesota,25-34 years,21,678304,""
2007,Minnesota,35-44 years,54,733084,""
2007,Minnesota,45-54 years,56,794764,""
2007,Minnesota,55-64 years,24,561123,""
2007,Mississippi,25-34 years,17,377937,unreliable
2007,Mississippi,35-44 years,27,390145,""
2007,Mississippi,45-54 years,26,413046,""
2007,Mississippi,55-64 years,14,318811,unreliable
2007,Missouri,15-24 years,59,842907,""
2007,Missouri,25-34 years,67,745829,""
2007,Missouri,35-44 years,103,796480,""
2007,Missouri,45-54 years,116,871654,""
2007,Missouri,55-64 years,41,662533,""
2007,Montana,25-34 years,10,112370,unreliable
2007,Montana,35-44 years,12,119001,unreliable
2007,Montana,45-54 years,26,153740,""
2007,Nebraska,35-44 years,15,230073,unreliable
2007,Nevada,15-24 years,43,347924,""
2007,Nevada,25-34 years,83,378966,""
2007,Nevada,35-44 years,85,386271,""
2007,Nevada,45-54 years,105,361379,""
2007,Nevada,55-64 years,43,292057,""
2007,Nevada,65-74 years,10,173479,unreliable
2007,New Hampshire,15-24 years,25,180761,""
2007,New Hampshire,25-34 years,29,143573,""
2007,New Hampshire,35-44 years,33,198938,""
2007,New Hampshire,45-54 years,39,220408,""
2007,New Hampshire,55-64 years,16,160698,unreliable
2007,New Jersey,15-24 years,36,1120773,""
2007,New Jersey,25-34 years,70,1088607,""
2007,New Jersey,35-44 years,124,1324931,""
2007,New Jersey,45-54 years,79,1333526,""
2007,New Jersey,55-64 years,23,965741,""
2007,New Mexico,15-24 years,32,293652,""
2007,New Mexico,25-34 years,61,252740,""
2007,New Mexico,35-44 years,54,257084,""
2007,New Mexico,45-54 years,79,287922,""
2007,New Mexico,55-64 years,30,230911,""
2007,New York,15-24 years,85,2731929,""
2007,New York,25-34 years,215,2565014,""
2007,New York,35-44 years,258,2792430,""
2007,New York,45-54 years,326,2813797,""
2007,New York,55-64 years,127,2133869,""
2007,North Carolina,15-24 years,101,1268961,""
2007,North Carolina,25-34 years,156,1201650,""
2007,North Carolina,35-44 years,204,1342822,""
2007,North Carolina,45-54 years,214,1308099,""
2007,North Carolina,55-64 years,56,1033276,""
2007,North Carolina,65-74 years,14,621187,unreliable
2007,Ohio,15-24 years,78,1593522,""
2007,Ohio,25-34 years,134,1414429,""
2007,Ohio,35-44 years,179,1585776,""
2007,Ohio,45-54 years,239,1747772,""
2007,Ohio,55-64 years,61,1319693,""
2007,Ohio,65-74 years,10,792631,unreliable
2007,Oklahoma,15-24 years,62,537377,""
2007,Oklahoma,25-34 years,107,474358,""
2007,Oklahoma,35-44 years,124,471265,""
2007,Oklahoma,45-54 years,138,517633,""
2007,Oklahoma,55-64 years,51,405474,""
2007,Oregon,15-24 years,27,509048,""
2007,Oregon,25-34 years,66,499535,""
2007,Oregon,35-44 years,83,505171,""
2007,Oregon,45-54 years,125,551628,""
2007,Oregon,55-64 years,46,457934,""
2007,Pennsylvania,15-24 years,73,1758553,""
2007,Pennsylvania,25-34 years,121,1464778,""
2007,Pennsylvania,35-44 years,108,1732534,""
2007,Pennsylvania,45-54 years,136,1929914,""
2007,Pennsylvania,55-64 years,44,1477670,""
2007,Rhode Island,25-34 years,14,126899,unreliable
2007,Rhode Island,35-44 years,21,150924,""
2007,Rhode Island,45-54 years,33,161203,""
2007,Rhode Island,55-64 years,10,119726,unreliable
2007,South Carolina,15-24 years,16,644047,unreliable
2007,South Carolina,25-34 years,26,570513,""
2007,South Carolina,35-44 years,54,616398,""
2007,South Carolina,45-54 years,71,637341,""
2007,South Carolina,55-64 years,27,530939,""
2007,Tennessee,15-24 years,55,846631,""
2007,Tennessee,25-34 years,109,815044,""
2007,Tennessee,35-44 years,128,882048,""
2007,Tennessee,45-54 years,130,899142,""
2007,Tennessee,55-64 years,46,719742,""
2007,Texas,15-24 years,154,3582610,""
2007,Texas,25-34 years,224,3425969,""
2007,Texas,35-44 years,242,3409906,""
2007,Texas,45-54 years,282,3264871,""
2007,Texas,55-64 years,99,2300130,""
2007,Texas,65-74 years,10,1314458,unreliable
2007,Utah,15-24 years,59,446967,""
2007,Utah,25-34 years,97,414291,""
2007,Utah,35-44 years,84,312280,""
2007,Utah,45-54 years,76,297546,""
2007,Utah,55-64 years,32,211226,""
2007,Vermont,35-44 years,21,86527,""
2007,Vermont,45-54 years,12,103671,unreliable
2007,Virginia,15-24 years,62,1114822,""
2007,Virginia,25-34 years,123,1032580,""
2007,Virginia,35-44 years,149,1154325,""
2007,Virginia,45-54 years,134,1168246,""
2007,Virginia,55-64 years,21,873986,""
2007,Washington,15-24 years,55,910536,""
2007,Washington,25-34 years,127,872237,""
2007,Washington,35-44 years,160,931094,""
2007,Washington,45-54 years,205,979052,""
2007,Washington,55-64 years,86,747598,""
2007,Washington,65-74 years,10,394125,unreliable
2007,West Virginia,15-24 years,37,238720,""
2007,West Virginia,25-34 years,94,220852,""
2007,West Virginia,35-44 years,90,244664,""
2007,West Virginia,45-54 years,89,280693,""
2007,West Virginia,55-64 years,21,243082,""
2007,Wisconsin,15-24 years,49,807490,""
2007,Wisconsin,25-34 years,80,688329,""
2007,Wisconsin,35-44 years,102,783369,""
2007,Wisconsin,45-54 years,101,862902,""
2007,Wisconsin,55-64 years,28,627843,""
2008,Alabama,15-24 years,18,674331,unreliable
2008,Alabama,25-34 years,54,598776,""
2008,Alabama,35-44 years,57,632634,""
2008,Alabama,45-54 years,41,688154,""
2008,Alabama,55-64 years,12,556340,unreliable
2008,Alaska,15-24 years,12,108196,unreliable
2008,Alaska,25-34 years,16,95378,unreliable
2008,Alaska,35-44 years,21,94295,""
2008,Alaska,45-54 years,27,111163,""
2008,Arizona,15-24 years,55,893419,""
2008,Arizona,25-34 years,83,858658,""
2008,Arizona,35-44 years,112,831711,""
2008,Arizona,45-54 years,160,825478,""
2008,Arizona,55-64 years,65,682249,""
2008,Arkansas,15-24 years,34,400097,""
2008,Arkansas,25-34 years,52,370940,""
2008,Arkansas,35-44 years,54,374414,""
2008,Arkansas,45-54 years,44,401762,""
2008,Arkansas,55-64 years,13,335312,unreliable
2008,California,15-24 years,170,5508762,""
2008,California,25-34 years,244,5227071,""
2008,California,35-44 years,375,5278905,""
2008,California,45-54 years,601,5158516,""
2008,California,55-64 years,322,3748885,""
2008,California,65-74 years,66,2132744,""
2008,California,75-84 years,15,1363109,unreliable
2008,Colorado,15-24 years,34,684087,""
2008,Colorado,25-34 years,64,700644,""
2008,Colorado,35-44 years,78,703610,""
2008,Colorado,45-54 years,107,736903,""
2008,Colorado,55-64 years,51,549645,""
2008,Colorado,65-74 years,14,283469,unreliable
2008,Connecticut,15-24 years,36,474692,""
2008,Connecticut,25-34 years,46,409191,""
2008,Connecticut,35-44 years,58,514364,""
2008,Connecticut,45-54 years,69,566046,""
2008,Connecticut,55-64 years,17,416490,unreliable
2008,Delaware,25-34 years,21,109380,""
2008,Delaware,35-44 years,18,120977,unreliable
2008,Delaware,45-54 years,14,130321,unreliable
2008,District of Columbia,45-54 years,17,74908,unreliable
2008,District of Columbia,55-64 years,10,61624,unreliable
2008,Florida,15-24 years,188,2449279,""
2008,Florida,25-34 years,334,2250501,""
2008,Florida,35-44 years,329,2513608,""
2008,Florida,45-54 years,439,2674832,""
2008,Florida,55-64 years,148,2217834,""
2008,Florida,65-74 years,24,1632942,""
2008,Florida,75-84 years,10,1096681,unreliable
2008,Georgia,15-24 years,64,1371758,""
2008,Georgia,25-34 years,91,1330542,""
2008,Georgia,35-44 years,96,1428057,""
2008,Georgia,45-54 years,99,1348621,""
2008,Georgia,55-64 years,39,997267,""
2008,Hawaii,45-54 years,26,193822,""
2008,Idaho,25-34 years,13,204010,unreliable
2008,Idaho,35-44 years,17,192756,unreliable
2008,Idaho,45-54 years,18,208454,unreliable
2008,Idaho,55-64 years,14,168248,unreliable
2008,Illinois,15-24 years,125,1807610,""
2008,Illinois,25-34 years,212,1757471,""
2008,Illinois,35-44 years,221,1779962,""
2008,Illinois,45-54 years,207,1860587,""
2008,Illinois,55-64 years,65,1380334,""
2008,Illinois,65-74 years,12,811991,unreliable
2008,Indiana,15-24 years,45,925115,""
2008,Indiana,25-34 years,73,821148,""
2008,Indiana,35-44 years,88,869437,""
2008,Indiana,45-54 years,68,941733,""
2008,Indiana,55-64 years,25,719819,""
2008,Iowa,15-24 years,13,435239,unreliable
2008,Iowa,25-34 years,26,368668,""
2008,Iowa,35-44 years,35,377667,""
2008,Iowa,45-54 years,34,442580,""
2008,Iowa,55-64 years,17,348104,unreliable
2008,Kansas,15-24 years,11,413650,unreliable
2008,Kansas,25-34 years,15,360888,unreliable
2008,Kansas,35-44 years,21,356322,""
2008,Kansas,45-54 years,31,408413,""
2008,Kansas,55-64 years,14,308123,unreliable
2008,Kentucky,15-24 years,41,585013,""
2008,Kentucky,25-34 years,94,558929,""
2008,Kentucky,35-44 years,105,594012,""
2008,Kentucky,45-54 years,94,638081,""
2008,Kentucky,55-64 years,24,508641,""
2008,Louisiana,15-24 years,20,664105,""
2008,Louisiana,25-34 years,26,592767,""
2008,Louisiana,35-44 years,30,576983,""
2008,Louisiana,45-54 years,38,650435,""
2008,Louisiana,55-64 years,13,499672,unreliable
2008,Maine,25-34 years,28,143942,""
2008,Maine,35-44 years,26,183010,""
2008,Maine,45-54 years,38,220114,""
2008,Maryland,15-24 years,56,793999,""
2008,Maryland,25-34 years,89,735642,""
2008,Maryland,35-44 years,134,833570,""
2008,Maryland,45-54 years,158,882574,""
2008,Maryland,55-64 years,64,652083,""
2008,Massachusetts,15-24 years,54,928340,""
2008,Massachusetts,25-34 years,138,823150,""
2008,Massachusetts,35-44 years,157,931468,""
2008,Massachusetts,45-54 years,197,993293,""
2008,Massachusetts,55-64 years,41,752529,""
2008,Michigan,15-24 years,72,1426466,""
2008,Michigan,25-34 years,132,1180544,""
2008,Michigan,35-44 years,144,1356673,""
2008,Michigan,45-54 years,208,1523637,""
2008,Michigan,55-64 years,75,1175776,""
2008,Minnesota,15-24 years,20,739076,""
2008,Minnesota,25-34 years,51,693862,""
2008,Minnesota,35-44 years,53,711830,""
2008,Minnesota,45-54 years,76,803929,""
2008,Minnesota,55-64 years,21,582155,""
2008,Mississippi,15-24 years,12,439221,unreliable
2008,Mississippi,25-34 years,22,381965,""
2008,Mississippi,35-44 years,27,385537,""
2008,Mississippi,45-54 years,36,416943,""
2008,Missouri,15-24 years,61,842380,""
2008,Missouri,25-34 years,108,754908,""
2008,Missouri,35-44 years,122,777929,""
2008,Missouri,45-54 years,131,882787,""
2008,Missouri,55-64 years,39,680290,""
2008,Montana,25-34 years,12,116423,unreliable
2008,Montana,35-44 years,22,116792,""
2008,Montana,45-54 years,23,153172,""
2008,Nebraska,45-54 years,11,259716,unreliable
2008,Nevada,15-24 years,38,355747,""
2008,Nevada,25-34 years,71,386492,""
2008,Nevada,35-44 years,90,388355,""
2008,Nevada,45-54 years,130,369080,""
2008,Nevada,55-64 years,51,299377,""
2008,New Hampshire,25-34 years,20,143691,""
2008,New Hampshire,35-44 years,21,192117,""
2008,New Hampshire,45-54 years,31,223313,""
2008,New Jersey,15-24 years,51,1127819,""
2008,New Jersey,25-34 years,71,1096725,""
2008,New Jersey,35-44 years,82,1292791,""
